,Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
0,IPCALAB,EQ,30-Jun-2022,896.90,894.00,907.80,887.35,890.15,897.50,898.85,"4,34,295","39,03,64,072.05","18,923","2,37,596",54.71
1,IPCALAB,EQ,01-Jul-2022,897.50,890.25,914.25,890.25,912.00,912.90,905.97,"1,54,987","14,04,13,502.95","6,751","84,103",54.26
2,IPCALAB,EQ,04-Jul-2022,912.90,912.90,925.00,907.00,920.00,918.50,914.37,"1,34,941","12,33,85,350.35","7,825","81,701",60.55
3,IPCALAB,EQ,05-Jul-2022,918.50,924.80,929.75,919.15,929.00,928.10,926.83,"1,82,221","16,88,88,069.80","15,535","1,37,506",75.46
4,IPCALAB,EQ,06-Jul-2022,928.10,929.00,948.95,923.70,945.65,944.05,942.26,"3,78,393","35,65,44,063.55","17,851","2,56,020",67.66
5,IPCALAB,EQ,07-Jul-2022,944.05,949.00,959.95,945.00,956.45,956.30,953.07,"1,51,827","14,47,01,828.50","8,005","93,512",61.59
6,IPCALAB,EQ,08-Jul-2022,956.30,961.05,991.00,960.00,981.90,976.95,973.22,"2,36,653","23,03,16,282.30","11,214","84,679",35.78
7,IPCALAB,EQ,11-Jul-2022,976.95,979.90,988.70,971.00,985.00,985.85,980.49,"1,66,600","16,33,49,748.15","12,275","97,444",58.49
8,IPCALAB,EQ,12-Jul-2022,985.85,987.00,989.95,965.00,976.00,969.60,975.08,"2,18,676","21,32,26,494.20","11,305","1,34,877",61.68
9,IPCALAB,EQ,13-Jul-2022,969.60,970.00,980.85,970.00,975.00,974.85,975.92,"3,96,301","38,67,59,040.35","9,555","3,11,560",78.62
10,IPCALAB,EQ,14-Jul-2022,974.85,975.00,"1,010.00",974.85,988.00,990.50,995.84,"4,52,427","45,05,46,957.50","18,607","1,35,020",29.84
11,IPCALAB,EQ,15-Jul-2022,990.50,989.00,997.20,983.60,989.85,989.55,990.99,"1,39,901","13,86,40,491.25","9,113","60,389",43.17
12,IPCALAB,EQ,18-Jul-2022,989.55,994.45,"1,002.00",989.00,995.10,998.05,997.45,"2,72,801","27,21,06,656.35","14,740","1,57,236",57.64
13,IPCALAB,EQ,19-Jul-2022,998.05,998.05,"1,018.00",994.10,"1,005.75","1,010.90","1,011.57","3,42,626","34,65,89,841.10","24,729","1,74,003",50.79
14,IPCALAB,EQ,20-Jul-2022,"1,010.90","1,016.00","1,024.50","1,010.15","1,015.00","1,014.80","1,015.49","3,25,932","33,09,81,363.90","30,642","1,53,683",47.15
15,IPCALAB,EQ,21-Jul-2022,"1,014.80","1,014.05","1,020.00","1,001.10","1,009.00","1,006.45","1,010.25","1,37,275","13,86,82,372.80","12,050","63,202",46.04
16,IPCALAB,EQ,22-Jul-2022,"1,006.45","1,009.50","1,009.50",981.25,985.00,987.25,989.59,"2,50,787","24,81,77,560.95","20,807","91,342",36.42
17,IPCALAB,EQ,25-Jul-2022,987.25,981.25,987.20,962.05,963.95,966.15,971.46,"3,32,206","32,27,25,938.30","24,751","1,73,507",52.23
18,IPCALAB,EQ,26-Jul-2022,966.15,966.00,988.00,948.50,988.00,984.40,962.89,"3,89,980","37,55,09,518.20","18,456","2,23,792",57.39
19,IPCALAB,EQ,27-Jul-2022,984.40,988.65,991.20,973.05,984.00,985.90,981.05,"4,74,450","46,54,58,968.10","19,312","3,09,785",65.29
20,IPCALAB,EQ,28-Jul-2022,985.90,993.15,998.70,970.60,995.00,995.30,990.94,"2,37,401","23,52,49,713.65","11,602","91,148",38.39
21,IPCALAB,EQ,29-Jul-2022,995.30,994.50,"1,009.85",990.95,"1,005.00","1,000.25","1,001.89","1,94,420","19,47,87,891.65","10,376","73,099",37.60
22,IPCALAB,EQ,01-Aug-2022,"1,000.25","1,004.90","1,016.50",992.65,996.50,997.70,"1,000.66","1,63,659","16,37,66,202.45","10,832","65,906",40.27
23,IPCALAB,EQ,02-Aug-2022,997.70,992.50,"1,001.35",983.80,990.45,990.05,991.72,"1,76,681","17,52,17,573.25","10,304","83,243",47.11
24,IPCALAB,EQ,03-Aug-2022,990.05,990.05,993.85,968.25,973.10,977.95,984.05,"78,714","7,74,58,280.35","8,066","22,200",28.20
25,IPCALAB,EQ,04-Aug-2022,977.95,977.95,"1,028.00",972.05,"1,025.00","1,024.95","1,012.92","4,48,120","45,39,09,679.85","21,600","1,74,220",38.88
26,IPCALAB,EQ,05-Aug-2022,"1,024.95","1,031.00","1,034.30",998.25,"1,012.00","1,012.45","1,012.51","5,94,365","60,18,01,933.70","11,573","3,65,038",61.42
27,IPCALAB,EQ,08-Aug-2022,"1,012.45","1,019.00","1,019.00","1,002.45","1,009.55","1,012.75","1,009.34","89,624","9,04,61,346.05","5,987","31,640",35.30
28,IPCALAB,EQ,10-Aug-2022,"1,012.75","1,005.00","1,012.00",971.00,990.05,991.50,986.71,"4,31,161","42,54,30,021.10","17,429","99,614",23.10
29,IPCALAB,EQ,11-Aug-2022,991.50,992.90,"1,022.60",985.10,"1,016.00","1,016.30","1,010.83","3,82,876","38,70,23,438.40","19,397","1,34,771",35.20
30,IPCALAB,EQ,12-Aug-2022,"1,016.30",988.40,990.00,918.40,927.50,928.05,931.30,"38,97,119","3,62,93,98,602.85","81,752","19,06,401",48.92
31,IPCALAB,EQ,16-Aug-2022,928.05,928.05,934.00,918.55,928.50,925.95,926.26,"4,55,476","42,18,89,185.00","21,169","1,97,474",43.36
32,IPCALAB,EQ,17-Aug-2022,925.95,927.85,933.00,914.60,915.00,919.85,925.92,"3,85,900","35,73,13,565.20","12,653","2,76,876",71.75
33,IPCALAB,EQ,18-Aug-2022,919.85,919.85,926.00,912.15,924.75,924.95,922.15,"4,05,069","37,35,35,989.90","14,411","2,85,711",70.53
34,IPCALAB,EQ,19-Aug-2022,924.95,926.00,929.70,905.05,918.80,919.85,918.20,"5,47,895","50,30,78,670.00","11,316","4,06,473",74.19
35,IPCALAB,EQ,22-Aug-2022,919.85,905.00,918.00,900.55,903.00,903.10,908.03,"2,29,225","20,81,43,484.05","14,072","63,503",27.70
36,IPCALAB,EQ,23-Aug-2022,903.10,903.05,924.80,900.10,924.80,922.65,917.47,"1,86,859","17,14,37,616.10","9,337","66,765",35.73
37,IPCALAB,EQ,24-Aug-2022,922.65,922.65,926.90,906.30,920.30,922.10,919.79,"4,01,021","36,88,53,353.20","15,413","2,24,596",56.01
38,IPCALAB,EQ,25-Aug-2022,922.10,928.55,928.55,911.00,912.20,914.80,915.75,"2,41,600","22,12,44,955.55","9,271","83,891",34.72
39,IPCALAB,EQ,26-Aug-2022,914.80,916.95,919.60,908.00,909.55,909.90,910.86,"1,08,071","9,84,37,103.85","5,317","58,618",54.24
40,IPCALAB,EQ,29-Aug-2022,909.90,903.00,911.65,894.40,900.00,900.10,902.59,"4,67,127","42,16,24,037.15","6,015","3,77,313",80.77
41,IPCALAB,EQ,30-Aug-2022,900.10,909.00,911.15,897.60,905.05,905.20,902.37,"3,19,017","28,78,69,802.85","12,878","1,70,111",53.32
42,IPCALAB,EQ,01-Sep-2022,905.20,900.00,907.65,892.60,898.00,899.60,899.72,"1,61,221","14,50,53,453.15","9,425","72,461",44.95
43,IPCALAB,EQ,02-Sep-2022,899.60,899.60,903.60,886.50,890.05,889.85,891.36,"1,74,167","15,52,45,281.85","10,663","1,04,053",59.74
44,IPCALAB,EQ,05-Sep-2022,889.85,889.85,894.15,881.10,885.00,886.35,887.59,"4,99,504","44,33,52,770.20","15,308","3,60,168",72.11
45,IPCALAB,EQ,06-Sep-2022,886.35,886.35,891.00,879.35,883.80,882.90,882.77,"1,21,036","10,68,46,841.90","7,548","51,549",42.59
46,IPCALAB,EQ,07-Sep-2022,882.90,883.80,889.90,877.65,878.75,879.45,880.66,"1,80,638","15,90,79,904.35","13,796","1,14,846",63.58
47,IPCALAB,EQ,08-Sep-2022,879.45,881.00,885.60,865.55,869.80,870.15,871.80,"2,77,356","24,17,97,652.05","21,423","1,69,636",61.16
48,IPCALAB,EQ,09-Sep-2022,870.15,876.50,901.45,870.00,871.00,872.20,884.21,"5,77,688","51,07,99,295.90","21,964","2,22,573",38.53
49,IPCALAB,EQ,12-Sep-2022,872.20,876.90,885.00,872.20,874.95,875.00,876.71,"2,96,143","25,96,32,443.00","12,073","2,06,601",69.76
50,IPCALAB,EQ,13-Sep-2022,875.00,876.90,901.60,876.90,895.20,898.10,890.88,"5,20,164","46,34,05,629.95","18,832","2,56,211",49.26
51,IPCALAB,EQ,14-Sep-2022,898.10,889.95,891.45,875.65,877.50,878.40,882.78,"2,33,166","20,58,33,631.95","15,977","1,08,097",46.36
52,IPCALAB,EQ,15-Sep-2022,878.40,883.00,883.95,872.65,875.00,875.25,878.20,"1,06,978","9,39,47,692.25","6,062","34,813",32.54
53,IPCALAB,EQ,16-Sep-2022,875.25,873.00,879.25,855.00,861.00,861.10,865.13,"4,00,708","34,66,63,194.00","12,576","2,57,203",64.19
54,IPCALAB,EQ,19-Sep-2022,861.10,861.00,868.00,852.75,858.00,858.45,857.79,"1,26,262","10,83,06,021.20","6,475","64,806",51.33
55,IPCALAB,EQ,20-Sep-2022,858.45,862.00,875.00,858.45,871.85,871.45,868.34,"1,13,859","9,88,68,790.95","8,522","50,344",44.22
56,IPCALAB,EQ,21-Sep-2022,871.45,877.15,884.30,862.05,862.90,866.65,872.31,"2,14,863","18,74,27,811.50","14,552","76,226",35.48
57,IPCALAB,EQ,22-Sep-2022,866.65,864.70,880.40,856.00,878.00,878.30,871.08,"3,34,833","29,16,67,866.70","15,545","1,96,723",58.75
58,IPCALAB,EQ,23-Sep-2022,878.30,882.00,882.90,870.00,874.00,873.95,874.89,"88,030","7,70,16,676.25","6,235","35,018",39.78
59,IPCALAB,EQ,26-Sep-2022,873.95,871.05,899.00,867.85,890.00,891.85,889.43,"7,47,578","66,49,15,137.70","30,404","2,10,827",28.20
60,IPCALAB,EQ,27-Sep-2022,891.85,896.25,906.70,883.00,897.45,904.95,899.08,"3,28,806","29,56,23,017.30","16,451","1,19,713",36.41
61,IPCALAB,EQ,28-Sep-2022,904.95,895.00,917.70,882.85,895.10,895.60,899.89,"3,96,813","35,70,88,397.10","16,440","1,31,303",33.09
62,IPCALAB,EQ,29-Sep-2022,895.60,909.60,912.75,896.15,909.00,909.40,906.52,"2,70,063","24,48,18,375.75","12,309","1,71,354",63.45
